==26324== Lackey, an example Valgrind tool
==26324== Copyright (C) 2002-2015, and GNU GPL'd, by Nicholas Nethercote.
==26324== Using Valgrind-3.11.0 and LibVEX; rerun with -h for copyright info
==26324== Command: ./heapsort
==26324== 
I  04000c30,3
I  04000c33,5
 S fff0005e8,8
I  040019b0,1
 S fff0005e0,8
I  040019b1,3
I  040019b4,2
 S fff0005d8,8
I  040019b6,2
 S fff0005d0,8
I  040019b8,2
 S fff0005c8,8
I  040019ba,2
 S fff0005c0,8
I  040019bc,3
I  040019bf,1
 S fff0005b8,8
I  040019c0,4
I  040019c4,2
I  040019c6,4
I  040019ca,2
I  040019cc,3
I  040019cf,7
I  040019d6,7
 S 04225c60,8
I  040019dd,7
 L 04225e80,8
I  040019e4,3
I  040019e7,7
 L 04226000,8
I  040019ee,7
 S 042269e8,8
I  040019f5,3
I  040019f8,7
 S 042269d8,8
I  040019ff,6
I  04001a05,7
I  04001a0c,10
I  04001a16,10
I  04001a20,5
I  04001a25,6
I  04001a2b,5
I  04001a30,3
I  04001a33,3
I  04001a36,6
I  04001a3c,5
I  04001a41,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a88,8
I  04001a53,4
I  04001a57,3
 L 04225e90,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a38,8
I  04001a53,4
I  04001a57,3
 L 04225ea0,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a65,3
I  04001a68,3
I  04001a6b,4
I  04001a6f,6
I  04001c68,3
I  04001c6b,2
I  04001c6d,3
I  04001c70,2
I  04001c90,3
I  04001c93,3
I  04001c96,4
I  04001c9a,6
I  04001dd8,3
I  04001ddb,3
I  04001dde,4
I  04001de2,6
I  04001de8,3
I  04001deb,4
 S 04226c70,8
I  04001def,5
I  04001a53,4
I  04001a57,3
 L 04225eb0,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a40,8
I  04001a53,4
I  04001a57,3
 L 04225ec0,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a48,8
I  04001a53,4
I  04001a57,3
 L 04225ed0,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a68,8
I  04001a53,4
I  04001a57,3
 L 04225ee0,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a70,8
I  04001a53,4
I  04001a57,3
 L 04225ef0,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a30,8
I  04001a53,4
I  04001a57,3
 L 04225f00,8
I  04001a5a,3
I  04001a5d,2
I  04001a5f,4
I  04001a63,2
I  04001a48,7
I  04001a4f,4
 S 04226a28,8
